id,lex_relations,raw_llm_output,error
esnli_test_33,"isa_wn(bar, inside)","[KB_START]
isa_wn(bar, inside)
[KB_END]",
esnli_test_75,,"[KB_START]
[KB_END]",
esnli_test_131,,"[KB_START]
[KB_END]
explanation: The human explanation describes a case of discarding modifiers (""wearing only white and red""), which is a trivial relation explicitly disallowed by the provided rules. Therefore, the KB remains empty.",
esnli_test_295,"isa_wn(hold, have)","[KB_START]
isa_wn(hold, have)
[KB_END]",
esnli_test_313,,"[KB_START]
[KB_END]",
esnli_test_354,,"[KB_START]
[KB_END]",
esnli_test_376,"isa_wn(tennis clothes, play tennis)","[KB_START]
isa_wn(tennis clothes, play tennis)
[KB_END]",
esnli_test_379,"isa_wn(play volleyball, hit ball with arm)","[KB_START]
isa_wn(play volleyball, hit ball with arm)
[KB_END]",
esnli_test_508,,"[KB_START]
[KB_END]
explanation: The human explanation relies on a logical inference (if one pushes an object, one has that object) rather than a lexical entailment between words or phrases. No lexical substitution is proposed.",
esnli_test_537,,"[KB_START]
[KB_END]",
esnli_test_555,"isa_wn(operate, use)","[KB_START]
isa_wn(operate, use)
[KB_END]",
esnli_test_670,"isa_wn(villager, person)","[KB_START]
isa_wn(villager, person)
[KB_END]",
esnli_test_760,"isa_wn(boy, child) ;; isa_wn(leap, play)","[KB_START]
isa_wn(boy, child)
isa_wn(leap, play)
[KB_END]",
esnli_test_796,"isa_wn(use, look through)","[KB_START]
isa_wn(use, look through)
[KB_END]",
esnli_test_832,"isa_wn(group of football player, multiple people)","[KB_START]
isa_wn(group of football player, multiple people)
[KB_END]",
esnli_test_861,,"[KB_START]
[KB_END]",
esnli_test_941,,"[KB_START]
[KB_END]",
esnli_test_1035,"isa_wn(pack into, be together)","[KB_START]
isa_wn(pack into, be together)
[KB_END]",
esnli_test_953,,"[KB_START]
[KB_END]
explanation: The human explanation only addresses the subject (""the boy is a boy because he is a young boy""), which is a trivial identity relation, and does not provide a lexical bridge between the actions ""climbs a slide"" and ""playing"". Since no lexical substitution is provided to bridge the action gap, the KB remains empty.",
esnli_test_1096,,"[KB_START]
[KB_END]",
esnli_test_1079,"isa_wn(shoveling snow, snow outside)","[KB_START]
isa_wn(shoveling snow, snow outside)
[KB_END]",
esnli_test_1107,,"[KB_START]
[KB_END]
explanation: The explanation describes a syntactic simplification where a reciprocal construction is reduced to its base predicate, not a lexical substitution of one term for another. As per the instructions, since no non-trivial lexical substitution is needed, the KB is empty.",
esnli_test_1148,"isa_wn(black, dark colored)","[KB_START]
isa_wn(black, dark colored)
[KB_END]",
esnli_test_1201,"isa_wn(vegetables, vegetable)","[KB_START]
isa_wn(vegetables, vegetable)
[KB_END]",
esnli_test_1212,"isa_wn(leap, jump) ;; isa_wn(hurdle, obstacle)","[KB_START]
isa_wn(leap, jump)
isa_wn(hurdle, obstacle)
[KB_END]",
esnli_test_1271,"isa_wn(look on, watch)","[KB_START]
isa_wn(look on, watch)
[KB_END]",
esnli_test_1215,,"[KB_START]
[KB_END]
explanation: The human explanation only addresses the subject ""man with beard"" being a type of ""man"" (a modifier-dropping relation, which is forbidden per the instructions). The rest of the entailment follows from the premise's description of a skateboarding stunt being a restatement/entailment of the activity ""skateboards"", but no valid lexical bridge was provided or is necessary as per the constraints.",
esnli_test_1311,"isa_wn(body of water, water)","[KB_START]
isa_wn(body of water, water)
[KB_END]",
esnli_test_1335,"isa_wn(guy, man) ;; isa_wn(bite into, eat) ;; isa_wn(marshmallow chick, marshmallow)","[KB_START]
isa_wn(guy, man)
isa_wn(bite into, eat)
isa_wn(marshmallow chick, marshmallow)
[KB_END]",
esnli_test_1363,"isa_wn(gain control over a ball, play a sport)","[KB_START]
isa_wn(gain control over a ball, play a sport)
[KB_END]",
esnli_test_1485,"isa_wn(blue scrub, scrub)","[KB_START]
isa_wn(blue scrub, scrub)
[KB_END]",
esnli_test_1641,,"[KB_START]
[KB_END]
explanation: The human explanation states that the hypothesis follows by simply identifying the subject and object mentioned in the premise. The hypothesis is a generalized statement of the premise, involving the removal of adjectives and modifiers (e.g., ""Asian"", ""young"", ""white shirt"", ""black pants"", ""pink""). Since this relies on the removal of modifiers rather than non-trivial lexical substitution, the KB is empty.",
esnli_test_1656,"isa_wn(work at computer, sit in front of computer)","[KB_START]
isa_wn(work at computer, sit in front of computer)
[KB_END]",
esnli_test_1819,"isa_wn(perform, play music)","[KB_START]
isa_wn(perform, play music)
[KB_END]",
esnli_test_1848,,"[KB_START]
[KB_END]",
esnli_test_1874,"isa_wn(play the guitar, guitar player)","[KB_START]
isa_wn(play the guitar, guitar player)
[KB_END]",
esnli_test_1691,"isa_wn(band, musician) ;; isa_wn(stage, venue)","[KB_START]
isa_wn(band, musician)
isa_wn(stage, venue)
[KB_END]",
esnli_test_1893,"isa_wn(guitarist, musician)","[KB_START]
isa_wn(guitarist, musician)
[KB_END]",
esnli_test_1898,"isa_wn(garden, outside)","[KB_START]
isa_wn(garden, outside)
[KB_END]",
esnli_test_1916,,"[KB_START]
[KB_END]",
esnli_test_1930,,"[KB_START]
[KB_END]",
esnli_test_1940,"isa_wn(man, male) ;; isa_wn(pinstriped suit, clothes) ;; isa_wn(street, outside)","[KB_START]
isa_wn(man, male)
isa_wn(pinstriped suit, clothes)
isa_wn(street, outside)
[KB_END]",
esnli_test_2033,,"[KB_START]
[KB_END]",
esnli_test_2122,"isa_wn(couple, people) ;; isa_wn(street, outside)","[KB_START]
isa_wn(couple, people)
isa_wn(street, outside)
[KB_END]",
