id,result,error
esnli_test_33,neutral,
esnli_test_75,entailment,
esnli_test_131,entailment,
esnli_test_295,entailment,
esnli_test_313,entailment,
esnli_test_379,neutral,
esnli_test_508,neutral,
esnli_test_354,neutral,
esnli_test_376,neutral,
esnli_test_670,neutral,
esnli_test_555,neutral,
esnli_test_760,neutral,
esnli_test_537,neutral,
esnli_test_796,neutral,
esnli_test_861,entailment,
esnli_test_832,neutral,
esnli_test_953,neutral,
esnli_test_1035,neutral,
esnli_test_1079,neutral,
esnli_test_1096,entailment,
esnli_test_1107,neutral,
esnli_test_1148,neutral,
esnli_test_1212,neutral,
esnli_test_1215,neutral,
esnli_test_1311,neutral,
esnli_test_1201,neutral,
esnli_test_1271,neutral,
esnli_test_1335,neutral,
esnli_test_1641,entailment,
esnli_test_1363,neutral,
esnli_test_1485,neutral,
esnli_test_1691,neutral,
esnli_test_1819,neutral,
esnli_test_1848,neutral,
esnli_test_1656,neutral,
esnli_test_1893,entailment,
esnli_test_1898,neutral,
esnli_test_1874,neutral,
esnli_test_1916,neutral,
esnli_test_1930,neutral,
esnli_test_2122,neutral,
esnli_test_1940,neutral,
esnli_test_2033,neutral,
esnli_test_2517,neutral,
esnli_test_2532,entailment,
esnli_test_2375,neutral,
esnli_test_2287,neutral,
esnli_test_2552,entailment,
esnli_test_2636,entailment,
esnli_test_2584,neutral,
esnli_test_2626,neutral,
esnli_test_2640,neutral,
esnli_test_2650,neutral,
esnli_test_2740,neutral,
esnli_test_2680,neutral,
esnli_test_2802,entailment,
esnli_test_2755,neutral,
esnli_test_2944,entailment,
esnli_test_2804,neutral,
esnli_test_2947,neutral,
esnli_test_2964,neutral,
esnli_test_3169,entailment,
esnli_test_3175,neutral,
esnli_test_3188,neutral,
esnli_test_3189,entailment,
esnli_test_3221,neutral,
esnli_test_3216,neutral,
esnli_test_3235,neutral,
esnli_test_3365,entailment,
esnli_test_3262,neutral,
esnli_test_3023,neutral,
esnli_test_3369,neutral,
esnli_test_3327,neutral,
esnli_test_3499,entailment,
esnli_test_3548,neutral,
esnli_test_3611,neutral,
esnli_test_3542,neutral,
esnli_test_3813,neutral,
esnli_test_4072,entailment,
esnli_test_4118,neutral,
esnli_test_3824,neutral,
esnli_test_4167,neutral,
esnli_test_4343,neutral,
esnli_test_3927,neutral,
esnli_test_4300,neutral,
esnli_test_4378,neutral,
esnli_test_4382,neutral,
esnli_test_4558,neutral,
esnli_test_4476,neutral,
esnli_test_4516,neutral,
esnli_test_4565,neutral,
esnli_test_4412,neutral,
