id,result,kb_used,error
esnli_test_33,neutral,,
esnli_test_75,entailment,,
esnli_test_131,entailment,,
esnli_test_295,entailment,"isa_wn(hold, have)",
esnli_test_313,entailment,,
esnli_test_354,neutral,,
esnli_test_376,neutral,,
esnli_test_379,neutral,,
esnli_test_508,neutral,,
esnli_test_537,neutral,,
esnli_test_555,neutral,"isa_wn(operate, use)",
esnli_test_670,neutral,"isa_wn(villager, person)",
esnli_test_796,neutral,,
esnli_test_861,entailment,,
esnli_test_941,neutral,,
esnli_test_953,neutral,,
esnli_test_1035,neutral,,
esnli_test_1079,neutral,,
esnli_test_1096,entailment,,
esnli_test_1107,neutral,,
esnli_test_1148,neutral,"isa_wn(black, dark colored)",
esnli_test_1201,neutral,,
esnli_test_1212,neutral,"isa_wn(leap, jump) ;; isa_wn(hurdle, obstacle)",
esnli_test_1215,neutral,,
esnli_test_1271,neutral,"isa_wn(look on, watch)",
esnli_test_1311,neutral,,
esnli_test_1335,neutral,"isa_wn(guy, man) ;; isa_wn(bite into, eat) ;; isa_wn(marshmallow chick, marshmallow)",
esnli_test_1485,neutral,,
esnli_test_1641,entailment,,
esnli_test_1656,neutral,,
esnli_test_1691,neutral,"isa_wn(band, musician) ;; isa_wn(stage, venue)",
esnli_test_1819,neutral,"isa_wn(perform, play music)",
esnli_test_1848,neutral,,
esnli_test_1893,entailment,"isa_wn(guitarist, musician)",
esnli_test_1898,neutral,,
esnli_test_1916,neutral,,
esnli_test_1930,neutral,,
esnli_test_2033,neutral,,
esnli_test_2122,neutral,"isa_wn(couple, people) ;; isa_wn(street, outside)",
esnli_test_2287,neutral,"isa_wn(guy, man)",
esnli_test_2375,neutral,"isa_wn(woman, female human) ;; isa_wn(girl, female human) ;; isa_wn(cross, move)",
esnli_test_2517,neutral,,
esnli_test_2532,entailment,,
esnli_test_2552,entailment,,
esnli_test_2584,neutral,,
esnli_test_2636,entailment,,
esnli_test_2640,neutral,,
esnli_test_2650,neutral,,
esnli_test_2680,neutral,,
esnli_test_2740,neutral,"isa_wn(student, person) ;; isa_wn(notebook, book)",
esnli_test_2802,entailment,,
esnli_test_2804,neutral,,
esnli_test_2944,entailment,,
esnli_test_2964,neutral,,
esnli_test_3023,neutral,,
esnli_test_3169,entailment,,
esnli_test_3175,neutral,"isa_wn(young lady, woman) ;; isa_wn(street, outside)",
esnli_test_3188,neutral,"isa_wn(hang, play)",
esnli_test_3189,entailment,"isa_wn(family, people)",
esnli_test_3235,neutral,,
esnli_test_3365,entailment,,
