id,premise,hypothesis,explanation
esnli_test_33,A man reads the paper in a bar with green lighting.,The man is inside.,In a bar means the man could be inside.
esnli_test_75,A man in a black shirt is looking at a bike in a workshop.,A man is in a black shirt,A man in a black shirt is the same as a man who is in a black shirt.
esnli_test_131,A large number of people wearing only white and red are walking on a street.,A large number of people walking on a street.,People wearing only white and red are a type of people.
esnli_test_295,A girl holding a beverage points at a painting.,The girl has a beverage.,She is holding the beverage that she has.
esnli_test_313,A man in an Alaska sweatshirt stands behind a counter.,The person behind the counter is a man.,"The person, that is behind the counter, is a man."
esnli_test_354,A boy is riding down the road between two cows.,"A boy, a road and two cows.",The boy rides and there are two cows.
esnli_test_376,A woman in tennis clothes running to hit a ball with her tennis racket.,A woman plays tennis.,A woman plays tennis with a racket.
esnli_test_379,Several women are playing volleyball.,They women are hitting a ball with their arms,"For women to play volleyball, they must hit the ball with their arms."
esnli_test_508,A homeless man pushes an overfilled plastic blue shopping cart.,A man has a shopping cart,"In order to push a shopping cart, he must have a shopping cart."
esnli_test_537,Young boy wearing pajamas lying down in bed and sleeping on a colorful striped pillow.,A young boy is sleeping on a pillow.,Sleeping on a pillow is a rephrasing of sleeping on a colorful striped pillow.
esnli_test_555,"One young boy in a yellow long-sleeved shirt and jeans sitting down, with five adults in front of him, one operating a video camera.",An adult using a video camera.,Operating is another way to say using.
esnli_test_670,Villagers pulling in the fish boat.,There are people pulling a boat.,Villagers are people.
esnli_test_760,A young boy in red leaping into sand at a playground.,A child is playing in the sand.,A boy is a child which means he is playing in the sand.
esnli_test_796,a young boy using a field microscope to identify a field specimen during a field trip.,The boy is looking through a microscope.,The boy is looking through the microscope because he is using the microscope.
esnli_test_832,A group of footballs players is standing behind a coaching official.,There are multiple people present.,group of football players implies that there are  multiple people  present.
esnli_test_861,Several women wearing dresses dance in the forest.,there are several women,Several women is present in both sentences.
esnli_test_941,"A man wearing dark knee boots, a green cape, and a hat with two big feathers on the front is sitting by himself on a bench in front of a building with a blue and white patterned piece of wheeled luggage to his right while he rests both his hands on a walking stick.",A man with a walking stick sits by himself.,A man with a walking stick sits is part of his overall description wearing dark knee boots.
esnli_test_953,A young boy in a hoodie climbs a red slide sitting on a red and green checkered background.,A boy is playing.,The boy is a boy because he is a young boy.
esnli_test_1035,A crowd of people are packed into a subway car.,A crowd of people are together.,"If people are packed into a subway car, the people are together."
esnli_test_1079,A person with an orange shovel is shoveling snow.,There is snow outside,Shoveling snow implies outside.
esnli_test_1096,A woman teaching a ballet class composed of small children holding colourful scarves.,A woman is teaching a ballet class.,A ballet class can be composed of small children.
esnli_test_1107,Three girls are standing and talking to each other.,Three girls are talking,Talking to each other is a form of talking.
esnli_test_1148,A black dog is digging in the snow.,A dark colored dog digging through the snow,A black dog is a dark colored dog.
esnli_test_1201,"A man holding some sort of vegetables while his wife in a red sweater stares to the side, and his daughter in a red sweater looks at the camera.",A man holds a vegetable.,Some sort of a vegetable is surely a vegetable.
esnli_test_1212,A light colored dog leaps over a hurdle.,A dog jumps over a obstacel.,The hurdle is the obstacle that the dog is jumping over.
esnli_test_1215,Man with beard doing skateboarding stunt,A man skateboards.,Man with beard is a type of man.
esnli_test_1271,A man in a white and gray shirt looks on as a shirtless man with a mustache cleans fish on a pale green table.,The man watches the other clean a fish.,The man watches because he looks on.
esnli_test_1311,A pale colored dog runs through a body of water.,A dog runs through some water.,A body of water is some form of water.
esnli_test_1335,A guy in glasses is biting into a pink marshmallow chick while somebody else is puckering their lips out wanting a bite.,A man is eating a marshmallow.,The man eating a marshmallow while someone else wants a bite.
esnli_test_1363,Players from two opposing teams wearing colorful cleats struggle to gain control over a ball on an AstroTurf field.,The players are playing a sport.,Gain control over a ball is a form of playing a sport.
esnli_test_1485,Several people in blue scrubs and one in a skirt and black blouse.,There are people wearing scrubs.,People wearing scrubs are wearing scrubs irrespective of the color.
esnli_test_1641,An Asian young woman wearing a white shirt and black pants is holding a pink purse.,The woman is holding a purse.,The young Asian woman is holding the pink purse
esnli_test_1656,Kids work at computers with a teacher's help.,The kids sit in front of computers.,"To work at a computer, you must be in front of the computer."
esnli_test_1691,A band playing on stage in a club.,Musicians are playing their instruments at a venue,a band are musicians the stage is at the venue
esnli_test_1819,A band performing at a local bar or club.,The band is playing music,When a band performs it is playing music.
esnli_test_1848,Men work on a city street.,The men are working,Men work on a city street must be working.
esnli_test_1874,"A young man, wearing a T-shirt that says Joplin, plays the guitar in front of a large amplifier.",The young man is a guitar player,A guitar player plays the guitar.
esnli_test_1893,The guitarist performs a rocking solo.,the musician is performing,A guitarist is a specific type of musician.
esnli_test_1898,Three adults are working in a garden near a fence in the yard.,The three adults are outside in the garden.,If they are in a garden they are outside.
esnli_test_1916,A little girl with pointy pigtails is sitting in the sand on the beach.,The girl is sitting on the beach.,A girl sitting on the sand on the beach must be sitting on the beach.
esnli_test_1930,A young boy plays on a pile of rocks.,A boy is playing on rocks.,If a boy plays on rocks they are on a pile.
esnli_test_1940,A man in a pinstriped suit walks down the street and does n't notice the quirky poster on his left.,A male has clothes on and is outside walking down the street.,A pinstripe suit is clothes. Walking down a street would require you to be outside.
esnli_test_2033,"A man in a hard hat, gray t-shirt and holding a cordless drill saluting in front of a large American flag.",A man saluting the American Flag.,A man saluting in front of a large American flag is saluting the American Flag.
esnli_test_2122,A couple walking down the street.,People walking outside,A couple usually refers to people; streets are outside.
esnli_test_2287,A lady in pink long-sleeved blouse is holding a pink bag in her lap as she reaches something to the guy next to her.,Lady with matching pink bag and blouse reaches toward man next to her.,"IF the lady next to the man, then the lady is next to the guy."
esnli_test_2375,2 women and 2 girls crossing the road,There are 4 female humans who are moving.,"Women and girls are both female humans and crossing the road implies movement, so 4 female humans are the 2 women and 2 girls who are moving across the road."
esnli_test_2517,A white man taking a photo in front of water.,A man is in front of water.,A man taking a photo in front of water implies a man is in front of water.
esnli_test_2532,Very young boy is standing outside near a water fountain that is built into the ground and is squirting water.,The boy is standing near a water fountain.,"In both scenarios, a boy is standing near a water fountain."
esnli_test_2552,A woman in a blue striped shirt is talking to someone on the street.,A woman talking to someone.,Both woman are talking to someone.
esnli_test_2584,An elderly woman wearing a skirt is picking out vegetables at a local market.,This woman is on a shopping trip.,A woman at a local market must be on a shopping trip.
esnli_test_2626,Two men spar in martial arts gear.,There are multiple people present.,A spar is multiple people.
