model,prompt_style,problem_id,dataset,split,gold_label,pred_no_kb,status_no_kb,pred_with_raw_kb,status_with_raw_kb,raw_correct,pred_with_kb,status_with_kb,normalised_correct,final_status,fixed_by,kb_raw_count,kb_filtered_count,kb_raw,kb_filtered,kb_details,llm_error
anthropic/claude-opus-4.5,legacy_icl,1792,sick,train,entailment,neutral,success,entailment,success,True,entailment,success,True,fixed,raw_kb,1,1,"[""isa_wn(walk, move around)""]","[""isa_wn(walk, move around)""]","[{""relation"": ""isa_wn(walk, move around)"", ""provenance"": ""llm"", ""original_text"": ""isa_wn(walk, move around)""}]",
anthropic/claude-opus-4.5,legacy_icl,2281,sick,train,entailment,neutral,success,entailment,success,True,entailment,success,True,fixed,raw_kb,1,1,"[""isa_wn(open, bite)""]","[""isa_wn(open, bite)""]","[{""relation"": ""isa_wn(open, bite)"", ""provenance"": ""llm"", ""original_text"": ""isa_wn(open, bite)""}]",
anthropic/claude-opus-4.5,legacy_icl,2809,sick,train,entailment,neutral,success,entailment,success,True,entailment,success,True,fixed,both,1,2,"[""isa_wn(cartoon, animated)""]","[""isa_wn(cartoon, animated)"", ""isa_wn(cartoon, animate)""]","[{""relation"": ""isa_wn(cartoon, animated)"", ""provenance"": ""llm"", ""original_text"": ""isa_wn(cartoon, animated)""}, {""relation"": ""isa_wn(cartoon, animate)"", ""provenance"": ""derived_lemma"", ""original_text"": ""isa_wn(cartoon, animated)""}]",
anthropic/claude-opus-4.5,legacy_icl,3853,sick,train,entailment,neutral,success,entailment,success,True,entailment,success,True,fixed,raw_kb,1,1,"[""isa_wn(piano, keyboard)""]","[""isa_wn(piano, keyboard)""]","[{""relation"": ""isa_wn(piano, keyboard)"", ""provenance"": ""llm"", ""original_text"": ""isa_wn(piano, keyboard)""}]",
anthropic/claude-opus-4.5,legacy_icl,4181,sick,train,entailment,neutral,success,entailment,success,True,entailment,success,True,fixed,raw_kb,1,1,"[""isa_wn(eat, bite)""]","[""isa_wn(eat, bite)""]","[{""relation"": ""isa_wn(eat, bite)"", ""provenance"": ""llm"", ""original_text"": ""isa_wn(eat, bite)""}]",
anthropic/claude-opus-4.5,legacy_icl,4766,sick,train,entailment,neutral,success,neutral,success,False,entailment,success,True,fixed,filtered_kb,1,1,"[""isa_wn(roast, cook)""]","[""isa_wn(cook, roast)""]","[{""relation"": ""isa_wn(cook, roast)"", ""provenance"": ""derived_swap"", ""original_text"": ""isa_wn(roast, cook)""}]",
anthropic/claude-opus-4.5,legacy_icl,4974,sick,train,entailment,neutral,success,entailment,success,True,entailment,success,True,fixed,raw_kb,1,1,"[""isa_wn(hedgehog, small animal)""]","[""isa_wn(hedgehog, small animal)""]","[{""relation"": ""isa_wn(hedgehog, small animal)"", ""provenance"": ""llm"", ""original_text"": ""isa_wn(hedgehog, small animal)""}]",
anthropic/claude-opus-4.5,legacy_icl,5149,sick,train,entailment,neutral,success,entailment,success,True,entailment,success,True,fixed,raw_kb,1,1,"[""isa_wn(cord, rope)""]","[""isa_wn(cord, rope)""]","[{""relation"": ""isa_wn(cord, rope)"", ""provenance"": ""llm"", ""original_text"": ""isa_wn(cord, rope)""}]",
anthropic/claude-opus-4.5,legacy_icl,5198,sick,train,entailment,neutral,success,entailment,success,True,entailment,success,True,fixed,raw_kb,2,2,"[""isa_wn(boy, child)"", ""isa_wn(say, talk)""]","[""isa_wn(boy, child)"", ""isa_wn(say, talk)""]","[{""relation"": ""isa_wn(boy, child)"", ""provenance"": ""llm"", ""original_text"": ""isa_wn(boy, child)""}, {""relation"": ""isa_wn(say, talk)"", ""provenance"": ""llm"", ""original_text"": ""isa_wn(say, talk)""}]",
anthropic/claude-opus-4.5,legacy_icl,5435,sick,train,entailment,neutral,success,entailment,success,True,entailment,success,True,fixed,raw_kb,1,1,"[""isa_wn(baby panda, cub)""]","[""isa_wn(baby panda, cub)""]","[{""relation"": ""isa_wn(baby panda, cub)"", ""provenance"": ""llm"", ""original_text"": ""isa_wn(baby panda, cub)""}]",
anthropic/claude-opus-4.5,legacy_icl,5462,sick,train,entailment,neutral,success,entailment,success,True,entailment,success,True,fixed,raw_kb,1,1,"[""isa_wn(boy, guy)""]","[""isa_wn(boy, guy)""]","[{""relation"": ""isa_wn(boy, guy)"", ""provenance"": ""llm"", ""original_text"": ""isa_wn(boy, guy)""}]",
anthropic/claude-opus-4.5,legacy_icl,5554,sick,train,entailment,neutral,success,entailment,success,True,entailment,success,True,fixed,raw_kb,1,1,"[""isa_wn(aim, handle)""]","[""isa_wn(aim, handle)""]","[{""relation"": ""isa_wn(aim, handle)"", ""provenance"": ""llm"", ""original_text"": ""isa_wn(aim, handle)""}]",
anthropic/claude-opus-4.5,legacy_icl,5555,sick,train,entailment,neutral,success,contradiction,success,False,contradiction,success,False,still_wrong,,1,1,"[""disj(aim, draw)""]","[""disj(aim, draw)""]","[{""relation"": ""disj(aim, draw)"", ""provenance"": ""llm"", ""original_text"": ""disj(aim, draw)""}]",
anthropic/claude-opus-4.5,legacy_icl,6584,sick,train,entailment,neutral,success,entailment,success,True,entailment,success,True,fixed,raw_kb,1,1,"[""isa_wn(female, girl)""]","[""isa_wn(female, girl)""]","[{""relation"": ""isa_wn(female, girl)"", ""provenance"": ""llm"", ""original_text"": ""isa_wn(female, girl)""}]",
anthropic/claude-opus-4.5,legacy_icl,8624,sick,train,entailment,neutral,success,entailment,success,True,entailment,success,True,fixed,raw_kb,1,1,"[""isa_wn(against, near)""]","[""isa_wn(against, near)""]","[{""relation"": ""isa_wn(against, near)"", ""provenance"": ""llm"", ""original_text"": ""isa_wn(against, near)""}]",
anthropic/claude-opus-4.5,legacy_icl,3586,sick,dev,entailment,neutral,success,entailment,success,True,entailment,success,True,fixed,raw_kb,1,1,"[""isa_wn(play, practice)""]","[""isa_wn(play, practice)""]","[{""relation"": ""isa_wn(play, practice)"", ""provenance"": ""llm"", ""original_text"": ""isa_wn(play, practice)""}]",
anthropic/claude-opus-4.5,legacy_icl,1262,sick,test,entailment,neutral,success,entailment,success,True,entailment,success,True,fixed,raw_kb,1,1,"[""isa_wn(perform, play)""]","[""isa_wn(perform, play)""]","[{""relation"": ""isa_wn(perform, play)"", ""provenance"": ""llm"", ""original_text"": ""isa_wn(perform, play)""}]",
anthropic/claude-opus-4.5,legacy_icl,1497,sick,test,entailment,neutral,success,entailment,success,True,entailment,success,True,fixed,raw_kb,1,1,"[""isa_wn(strum, play)""]","[""isa_wn(strum, play)""]","[{""relation"": ""isa_wn(strum, play)"", ""provenance"": ""llm"", ""original_text"": ""isa_wn(strum, play)""}]",
