ID,dataset,split,premise,hypothesis,gold_label,annotator_count,all_present_exact_match,Alternative_KB,Ettore_KB,Jorryt_KB,Lasha_KB,Stefan_KB,Ettore_Jorryt_match,Ettore_Lasha_match,Ettore_Stefan_match,Jorryt_Lasha_match,Jorryt_Stefan_match,Lasha_Stefan_match,LLM__lex_few_shot_base__openai_gpt-5.4-mini_raw_response,LLM__lex_few_shot_base__openai_gpt-5.4-mini_KB,LLM__lex_few_shot_base__openai_gpt-5.4-mini_error,LLM__lex_few_shot_base__anthropic_claude-haiku-4.5_raw_response,LLM__lex_few_shot_base__anthropic_claude-haiku-4.5_KB,LLM__lex_few_shot_base__anthropic_claude-haiku-4.5_error,LLM__lex_few_shot_base__google_gemini-3.1-flash-lite_raw_response,LLM__lex_few_shot_base__google_gemini-3.1-flash-lite_KB,LLM__lex_few_shot_base__google_gemini-3.1-flash-lite_error,LLM__lex_few_shot_base__openai_gpt-oss-20b_raw_response,LLM__lex_few_shot_base__openai_gpt-oss-20b_KB,LLM__lex_few_shot_base__openai_gpt-oss-20b_error,LLM__lex_few_shot_precision__openai_gpt-5.4-mini_raw_response,LLM__lex_few_shot_precision__openai_gpt-5.4-mini_KB,LLM__lex_few_shot_precision__openai_gpt-5.4-mini_error,LLM__lex_few_shot_precision__anthropic_claude-haiku-4.5_raw_response,LLM__lex_few_shot_precision__anthropic_claude-haiku-4.5_KB,LLM__lex_few_shot_precision__anthropic_claude-haiku-4.5_error,LLM__lex_few_shot_precision__google_gemini-3.1-flash-lite_raw_response,LLM__lex_few_shot_precision__google_gemini-3.1-flash-lite_KB,LLM__lex_few_shot_precision__google_gemini-3.1-flash-lite_error,LLM__lex_few_shot_precision__openai_gpt-oss-20b_raw_response,LLM__lex_few_shot_precision__openai_gpt-oss-20b_KB,LLM__lex_few_shot_precision__openai_gpt-oss-20b_error
1192,sick,dev,A man and a woman are walking together through the woods,A man and a woman are walking through a wooded area,entailment,3,TRUE,,,"(woods, wooded area)","(woods, wooded area)","(woods, wooded area)",,,,FALSE,FALSE,TRUE,"answer: entailment
relations: { entails(woods, wooded area) }","isa_wn(woods, wooded area)",,"answer: entailment
relations: { entails(woods, wooded area) }","isa_wn(woods, wooded area)",,"answer: entailment
relations: { entails(woods, wooded area) }","isa_wn(woods, wooded area)",,"answer: entailment  
relations: { entails(wood, wooded area) }","isa_wn(wood, wooded area)",,"answer: entailment
relations: { entails(woods, wooded area) }","isa_wn(woods, wooded area)",,"answer: entailment
relations: { entails(woods, wooded area) }","isa_wn(woods, wooded area)",,"answer: entailment
relations: { entails(wood, wooded area) }","isa_wn(wood, wooded area)",,"answer: entailment  
relations: {entails(woods, wooded area)}","isa_wn(woods, wooded area)",
1405221276.jpg#4r1e,snli,dev,Two dogs shaking themselves dry on the sand.,Two dogs shake off water to get dry.,entailment,2,TRUE,,NO_RELATION,NO_RELATION,NO_RELATION,,FALSE,TRUE,,FALSE,,,"answer: entailment  
relations: { entails(shake oneself dry, shake off water), entails(sand, beach) }","isa_wn(shake oneself dry, shake off water); isa_wn(sand, beach)",,"answer: entailment
relations: { entails(shake, shake off), entails(sand, water) }","isa_wn(shake, shake off); isa_wn(sand, water)",,"answer: entailment
relations: { entails(shake themselves dry, shake off water to get dry) }","isa_wn(shake themselves dry, shake off water to get dry)",,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment
relations: { entails(shake themselves dry, shake off water), entails(sand, water) }","isa_wn(shake themselves dry, shake off water); isa_wn(sand, water)",,"answer: entailment
relations: { entails(shake, shake off), entails(dry, get dry) }","isa_wn(shake, shake off); isa_wn(dry, get dry)",,"answer: entailment
relations: { entails(shake self, shake off), entails(dry, remove water) }","isa_wn(shake self, shake off); isa_wn(dry, remove water)",,"answer: entailment  
relations: { entails(shaking themselves dry, shake off water) }","isa_wn(shaking themselves dry, shake off water)",
147236031.jpg#1r1e,snli,dev,An Asian woman is looking at the camera while trimming asparagus.,Woman cuts vegetables.,entailment,2,TRUE,,"(asparagus, vegetable); (trim, cut)",,"(asparagus, vegetable); (trim, cut)","(asparagus, vegetable); (trim, cut)",,TRUE,TRUE,,,TRUE,"answer: entailment
relations: { entails(trim asparagus, cuts vegetables) }","isa_wn(trim asparagus, cuts vegetables)",,"answer: entailment
relations: { entails(trim, cut), entails(asparagus, vegetable) }","isa_wn(trim, cut); isa_wn(asparagus, vegetable)",,"answer: entailment
relations: { entails(asparagus, vegetable), entails(trim, cut) }","isa_wn(asparagus, vegetable); isa_wn(trim, cut)",,"answer: entailment  
relations: { entails(trimming, cut), entails(asparagus, vegetable) }","isa_wn(trimming, cut); isa_wn(asparagus, vegetable)",,answer: non-entailment,NO_RELATION,,"answer: entailment
relations: { entails(trim, cut), entails(asparagus, vegetable) }","isa_wn(trim, cut); isa_wn(asparagus, vegetable)",,"answer: entailment
relations: { entails(trim, cut), entails(asparagus, vegetable) }","isa_wn(trim, cut); isa_wn(asparagus, vegetable)",,"answer: entailment  
relations: { entails(asian woman, woman), entails(trim, cut), entails(asparagus, vegetable) }","isa_wn(asian woman, woman); isa_wn(trim, cut); isa_wn(asparagus, vegetable)",
1796608106.jpg#4r1e,snli,dev,A woman building herself a sand castle.,a women is making a sand castle,entailment,2,TRUE,,"(build, make)","(build, make)","(build, make)",,TRUE,TRUE,,TRUE,,,"answer: entailment
relations: { entails(build, make), entails(woman, women) }","isa_wn(build, make); isa_wn(woman, women)",,"answer: entailment
relations: { entails(build, make), entails(woman, women) }","isa_wn(build, make); isa_wn(woman, women)",,"answer: entailment
relations: { entails(build, make) }","isa_wn(build, make)",,"answer: entailment  
relations: {entails(building, making)}","isa_wn(building, making)",,"answer: entailment
relations: { entails(build, make), entails(woman, women) }","isa_wn(build, make); isa_wn(woman, women)",,"answer: entailment
relations: { entails(build, make), entails(woman, women) }

Wait, let me reconsider. The phrase ""woman"" (singular) in the premise and ""women"" (plural) in the hypothesis presents an issue. The premise has ""A woman"" (singular) and the hypothesis has ""a women"" (which is grammatically incorrect - should be ""a woman""). 

Let me re-evaluate: If we treat the hypothesis as stating ""a woman is making a sand castle"" (correcting the grammatical error), then:

answer: entailment
relations: { entails(build, make) }

The relation entails(build, make) is needed because ""building"" in the premise corresponds to ""making"" in the hypothesis, and these are synonymous actions in this context.","isa_wn(build, make); isa_wn(woman, women); isa_wn(build, make); isa_wn(build, make)",,"answer: entailment
relations: { entails(build, make) }","isa_wn(build, make)",,"**answer:** entailment  
**relations:** { entails(build, make) }","isa_wn(build, make)",
211,sick,dev,Two dogs are playing by a tree,Two dogs are playing by a plant,entailment,2,TRUE,,"(tree, plant)","(tree, plant)",,"(tree, plant)",TRUE,,TRUE,,TRUE,,"answer: entailment
relations: { entails(tree, plant) }","isa_wn(tree, plant)",,"answer: entailment
relations: { entails(tree, plant) }","isa_wn(tree, plant)",,"answer: entailment
relations: { entails(tree, plant) }","isa_wn(tree, plant)",,"answer: entailment  
relations: { entails(tree, plant) }","isa_wn(tree, plant)",,"answer: entailment  
relations: { entails(tree, plant) }","isa_wn(tree, plant)",,"answer: entailment
relations: { entails(tree, plant) }","isa_wn(tree, plant)",,"answer: entailment
relations: { entails(tree, plant) }","isa_wn(tree, plant)",,"answer: entailment  
relations: { entails(tree, plant) }","isa_wn(tree, plant)",
2255375425.jpg#2r1e,snli,dev,A man is sitting in on the side of the street with brass pots.,A man is sitting.,entailment,2,TRUE,,NO_RELATION,NO_RELATION,,NO_RELATION,TRUE,,TRUE,,TRUE,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment
relations: { }

explanation: The hypothesis ""A man is sitting"" is directly entailed by the premise ""A man is sitting in on the side of the street with brass pots."" The premise asserts that a man is sitting, and the additional information about the location (on the side of the street) and the objects present (brass pots) does not negate or contradict this core assertion. The hypothesis is a simpler version of the premise that removes non-essential modifiers and details. No lexical entailment relations are needed to explain this entailment, as it follows from simple logical reduction.",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,,"**Answer:** entailment  
**Relational evidence:** { }",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment
relations: { }

explanation: The hypothesis ""A man is sitting"" is directly entailed by the premise ""A man is sitting in on the side of the street with brass pots."" The premise explicitly states that a man is sitting, and all the additional details (location on the side of the street, presence of brass pots) are extra specifications that do not negate or contradict the core fact. No non-trivial lexical entailment relations are needed to explain this entailment, as the hypothesis is a straightforward simplification of the premise.",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment  
relations: { }",NO_RELATION,
2367387854.jpg#1r1e,snli,dev,"A woman with dark hair wearing a dark shirt, jeans, and glasses is talking into a microphone.",A woman is speaking into a device.,entailment,2,TRUE,,"(microphone, device); (talk, speak)","(microphone, device); (talk, speak)",,"(microphone, device); (talk, speak)",FALSE,,TRUE,,FALSE,,"answer: entailment
relations: { entails(talk into microphone, speak into device), entails(microphone, device) }","isa_wn(talk into microphone, speak into device); isa_wn(microphone, device)",,"answer: entailment
relations: { entails(talk, speak), entails(microphone, device) }","isa_wn(talk, speak); isa_wn(microphone, device)",,"answer: entailment
relations: { entails(talk, speak), entails(microphone, device) }","isa_wn(talk, speak); isa_wn(microphone, device)",,"answer: entailment  
relations: {entails(microphone, device), entails(talking, speaking)}","isa_wn(microphone, device); isa_wn(talking, speaking)",,"answer: entailment
relations: { entails(talking, speaking), entails(microphone, device) }","isa_wn(talking, speaking); isa_wn(microphone, device)",,"answer: entailment
relations: { entails(talk, speak), entails(microphone, device) }","isa_wn(talk, speak); isa_wn(microphone, device)",,"answer: entailment
relations: { entails(microphone, device), entails(talk, speak) }","isa_wn(microphone, device); isa_wn(talk, speak)",,"Answer: entailment  
Relations: { entails(talk, speak), entails(microphone, device) }","isa_wn(talk, speak); isa_wn(microphone, device)",
237424188.jpg#0r1e,snli,dev,"A girl wearing a red shirt and jeans is sitting in a rocking chair at a cluttered desk, while another girl wearing a black t-shirt and jogging pants is sitting on the floor writing on a piece of paper with other papers arranged around her.",two girls in a room,entailment,3,TRUE,,,NO_RELATION,NO_RELATION,NO_RELATION,,,,TRUE,TRUE,TRUE,answer: non-entailment,NO_RELATION,,"answer: entailment
relations: { entails(girl, person in room) }

Wait, let me reconsider this more carefully.

The premise describes:
- A girl wearing a red shirt and jeans sitting in a rocking chair at a cluttered desk
- Another girl wearing a black t-shirt and jogging pants sitting on the floor writing on paper

The hypothesis states: ""two girls in a room""

From the premise, we can derive:
- There are two girls mentioned
- They are in an indoor space (implied by the desk, rocking chair, floor context and the activities described)

The entailment holds because:
1. ""Two girls"" is explicitly stated in the premise (""a girl"" and ""another girl"")
2. The setting implies they are in a room (desk, rocking chair, floor with papers)

However, looking at the lexical entailment relations needed:
- The premise already contains ""girl"" which matches the hypothesis
- The premise describes a setting that is clearly indoors/in a room
- No non-trivial lexical entailments are strictly required to bridge the gap

relations: { }","isa_wn(girl, person in room)",,"answer: entailment
relations: { entails(girl, girl), entails(sitting in rocking chair, in room), entails(sitting on floor, in room) }","isa_wn(girl, girl); isa_wn(sitting in rocking chair, in room); isa_wn(sitting on floor, in room)",,"answer: entailment  
relations: { entails(floor, room) }","isa_wn(floor, room)",,"answer: entailment
relations: { entails(rocking chair, room) }","isa_wn(rocking chair, room)",,"answer: entailment

relations: { }

explanation: The premise explicitly states ""A girl"" and ""another girl"", which clearly indicates two girls. The premise describes them in a room setting (one at a desk, one on the floor), so they are in a room. The hypothesis ""two girls in a room"" follows directly from the premise without requiring any non-trivial lexical entailment relations. The spatial arrangement and context make it clear both girls are in the same room.",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment  
relations: { entails(floor, room) }","isa_wn(floor, room)",
2393059551.jpg#1r1e,snli,dev,Two people work construction on the inside of a house.,Two people work inside.,entailment,2,TRUE,,NO_RELATION,NO_RELATION,,NO_RELATION,TRUE,,TRUE,,TRUE,,answer: non-entailment,NO_RELATION,,"answer: entailment
relations: { }

explanation: The hypothesis is entailed from the premise without any non-trivial lexical relations. The premise states that ""Two people work construction on the inside of a house,"" which directly implies that ""Two people work inside."" The phrase ""work construction on the inside of a house"" necessarily includes the information that they work inside. No specialized lexical entailment relations are needed to bridge the premise and hypothesis.",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment  
relations: { }",NO_RELATION,,"answer: non-entailment
relations: { }",NO_RELATION,,"answer: entailment
relations: { }

explanation: The hypothesis follows directly from the premise without requiring any non-trivial lexical entailment relations. The premise states ""Two people work construction on the inside of a house,"" which means two people are working inside. The hypothesis simply states ""Two people work inside,"" which is a direct consequence of the premise. The additional detail that the work is ""construction"" and specifically ""on the inside of a house"" does not prevent the core claim that two people work inside from being true.",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment  
relations: {}",NO_RELATION,
241345721.jpg#4r1e,snli,dev,Men playing football.,Some men are playing a game.,entailment,2,TRUE,,"(football, game)","(football, game)","(football, game)",,TRUE,TRUE,,TRUE,,,"answer: entailment
relations: { entails(football, game) }","isa_wn(football, game)",,"answer: entailment
relations: { entails(football, game) }","isa_wn(football, game)",,"answer: entailment
relations: { entails(football, game) }","isa_wn(football, game)",,"answer: entailment  
relations: {entails(football, game)}","isa_wn(football, game)",,"answer: entailment
relations: { entails(football, game) }","isa_wn(football, game)",,"answer: entailment
relations: { entails(football, game) }","isa_wn(football, game)",,"answer: entailment
relations: { entails(football, game) }","isa_wn(football, game)",,"answer: entailment
relations: { entails(football, game) }","isa_wn(football, game)",
