id,result,kb_used,error
esnli_test_75,entailment,,
esnli_test_131,entailment,,
esnli_test_313,entailment,,
esnli_test_354,neutral,,
esnli_test_508,neutral,,
esnli_test_537,neutral,,
esnli_test_861,entailment,,
esnli_test_941,neutral,,
esnli_test_953,neutral,,
esnli_test_1096,entailment,,
esnli_test_1107,neutral,,
esnli_test_1215,neutral,,
esnli_test_1641,entailment,,
esnli_test_1848,neutral,,
esnli_test_1916,neutral,,
esnli_test_1930,neutral,,
esnli_test_2033,neutral,,
esnli_test_2517,neutral,,
esnli_test_2532,entailment,,
esnli_test_2552,entailment,,
esnli_test_2636,entailment,,
esnli_test_2755,neutral,,
esnli_test_2802,entailment,,
esnli_test_2944,entailment,,
esnli_test_2964,neutral,,
esnli_test_3169,entailment,,
esnli_test_3235,neutral,,
esnli_test_3365,entailment,,
esnli_test_3499,entailment,,
esnli_test_3813,neutral,,
esnli_test_3927,neutral,,
esnli_test_4072,entailment,,
esnli_test_4167,neutral,,
esnli_test_4382,neutral,,
esnli_test_4565,neutral,,
esnli_test_4633,neutral,,
esnli_test_5087,neutral,,
esnli_test_5247,neutral,,
esnli_test_5413,neutral,,
esnli_test_5470,neutral,,
esnli_test_5474,entailment,,
esnli_test_5538,neutral,,
esnli_test_6111,neutral,,
esnli_test_6380,neutral,,
esnli_test_6469,neutral,,
esnli_test_6491,neutral,,
esnli_test_6669,entailment,,
esnli_test_6708,entailment,,
esnli_test_6766,entailment,,
esnli_test_7075,neutral,,
esnli_test_7416,neutral,,
esnli_test_7659,entailment,,
esnli_test_7675,neutral,,
esnli_test_7687,entailment,,
esnli_test_7757,neutral,,
esnli_test_7778,neutral,,
esnli_test_7845,neutral,,
esnli_test_7911,neutral,,
esnli_test_8079,neutral,,
esnli_test_8146,entailment,,
esnli_test_8179,entailment,,
esnli_test_8381,neutral,,
esnli_test_8414,neutral,,
esnli_test_8551,entailment,,
esnli_test_8574,neutral,,
esnli_test_8708,entailment,,
esnli_test_8717,entailment,,
esnli_test_8919,entailment,,
esnli_test_9165,entailment,,
esnli_test_9168,neutral,,
esnli_test_9630,entailment,,
esnli_test_9658,neutral,,
esnli_test_379,neutral,"isa_wn(play volleyball, hit ball with arm)",
esnli_test_33,neutral,"isa_wn(bar, inside)",
esnli_test_295,entailment,"isa_wn(hold, have)",
esnli_test_376,neutral,"isa_wn(tennis clothes, play tennis)",
esnli_test_670,neutral,"isa_wn(villager, person)",
esnli_test_760,neutral,"isa_wn(boy, child) ;; isa_wn(leap, play)",
esnli_test_796,neutral,"isa_wn(use, look through)",
esnli_test_555,neutral,"isa_wn(operate, use)",
esnli_test_832,neutral,"isa_wn(group of football player, multiple people)",
esnli_test_1035,neutral,"isa_wn(pack into, be together)",
esnli_test_1079,neutral,"isa_wn(shoveling snow, snow outside)",
esnli_test_1148,neutral,"isa_wn(black, dark colored)",
esnli_test_1212,neutral,"isa_wn(leap, jump) ;; isa_wn(hurdle, obstacle)",
esnli_test_1311,neutral,"isa_wn(body of water, water)",
esnli_test_1271,neutral,"isa_wn(look on, watch)",
