id,lex_relations,raw_llm_output,error
esnli_test_75,,"[KB_START]
[KB_END]",
esnli_test_131,,"[KB_START]
[KB_END]",
esnli_test_33,,"[KB_START]
[KB_END]",
esnli_test_313,,"[KB_START]
[KB_END]",
esnli_test_354,,"[KB_START]
[KB_END]",
esnli_test_295,"isa_wn(hold, have)","[KB_START]
isa_wn(hold, have)
[KB_END]",
esnli_test_376,,"[KB_START]
[KB_END]",
esnli_test_379,,"[KB_START]
[KB_END]",
esnli_test_508,,"[KB_START]
[KB_END]",
esnli_test_537,,"[KB_START]
[KB_END]",
esnli_test_555,"isa_wn(operate, use)","[KB_START]
isa_wn(operate, use)
[KB_END]",
esnli_test_670,"isa_wn(villager, person)","[KB_START]
isa_wn(villager, person)
[KB_END]",
esnli_test_760,"isa_wn(boy, child)","[KB_START]
isa_wn(boy, child)
[KB_END]",
esnli_test_796,,"[KB_START]
[KB_END]",
esnli_test_832,"isa_wn(football player, person)","[KB_START]
isa_wn(football player, person)
[KB_END]",
esnli_test_861,,"[KB_START]
[KB_END]",
esnli_test_941,,"[KB_START]
[KB_END]",
esnli_test_953,,"[KB_START]
[KB_END]",
esnli_test_1035,,"[KB_START]
[KB_END]",
esnli_test_1079,,"[KB_START]
[KB_END]",
esnli_test_1096,,"[KB_START]
[KB_END]",
esnli_test_1148,"isa_wn(black, dark colored)","[KB_START]
isa_wn(black, dark colored)
[KB_END]",
esnli_test_1107,,"[KB_START]
[KB_END]",
esnli_test_1201,,"[KB_START]
[KB_END]",
esnli_test_1212,"isa_wn(leap, jump) ;; isa_wn(hurdle, obstacle)","[KB_START]
isa_wn(leap, jump)
isa_wn(hurdle, obstacle)
[KB_END]",
esnli_test_1215,,"[KB_START]
[KB_END]",
esnli_test_1271,"isa_wn(look on, watch)","[KB_START]
isa_wn(look on, watch)
[KB_END]",
esnli_test_1311,,"[KB_START]
[KB_END]",
esnli_test_1335,"isa_wn(guy, man) ;; isa_wn(bite into, eat) ;; isa_wn(marshmallow chick, marshmallow)","[KB_START]
isa_wn(guy, man)
isa_wn(bite into, eat)
isa_wn(marshmallow chick, marshmallow)
[KB_END]",
esnli_test_1363,"isa_wn(gain control, play sport)","[KB_START]
isa_wn(gain control, play sport)
[KB_END]",
esnli_test_1641,,"[KB_START]
[KB_END]",
esnli_test_1485,,"[KB_START]
[KB_END]",
esnli_test_1656,,"[KB_START]
[KB_END]",
esnli_test_1691,"isa_wn(band, musician) ;; isa_wn(stage, venue)","[KB_START]
isa_wn(band, musician)
isa_wn(stage, venue)
[KB_END]",
esnli_test_1848,,"[KB_START]
[KB_END]",
esnli_test_1819,"isa_wn(perform, play music)","[KB_START]
isa_wn(perform, play music)
[KB_END]",
esnli_test_1893,"isa_wn(guitarist, musician)","[KB_START]
isa_wn(guitarist, musician)
[KB_END]",
esnli_test_1874,"isa_wn(play guitar, guitar player)","[KB_START]
isa_wn(play guitar, guitar player)
[KB_END]",
esnli_test_1898,,"[KB_START]
[KB_END]",
esnli_test_1916,,"[KB_START]
[KB_END]",
esnli_test_1930,,"[KB_START]
[KB_END]",
esnli_test_2033,,"[KB_START]
[KB_END]",
esnli_test_1940,"isa_wn(pinstriped suit, clothes)","[KB_START]
isa_wn(pinstriped suit, clothes)
[KB_END]",
esnli_test_2122,"isa_wn(couple, people) ;; isa_wn(street, outside)","[KB_START]
isa_wn(couple, people)
isa_wn(street, outside)
[KB_END]",
esnli_test_2287,"isa_wn(guy, man)","[KB_START]
isa_wn(guy, man)
[KB_END]",
esnli_test_2517,,"[KB_START]
[KB_END]",
esnli_test_2375,"isa_wn(woman, female human) ;; isa_wn(girl, female human) ;; isa_wn(cross, move)","[KB_START]
isa_wn(woman, female human)
isa_wn(girl, female human)
isa_wn(cross, move)
[KB_END]",
esnli_test_2552,,"[KB_START]
[KB_END]",
esnli_test_2532,,"[KB_START]
[KB_END]",
esnli_test_2584,,"[KB_START]
[KB_END]",
esnli_test_2636,,"[KB_START]
[KB_END]",
esnli_test_2640,,"[KB_START]
[KB_END]",
esnli_test_2650,,"[KB_START]
[KB_END]",
esnli_test_2680,,"[KB_START]
[KB_END]",
esnli_test_2626,"isa_wn(two men, multiple people)","[KB_START]
isa_wn(two men, multiple people)
[KB_END]",
esnli_test_2740,"isa_wn(student, person) ;; isa_wn(notebook, book)","[KB_START]
isa_wn(student, person)
isa_wn(notebook, book)
[KB_END]",
esnli_test_2755,"isa_wn(mountain bike, bike)","[KB_START]
isa_wn(mountain bike, bike)
[KB_END]",
esnli_test_2802,,"[KB_START]
[KB_END]",
esnli_test_2804,,"[KB_START]
[KB_END]",
esnli_test_2944,,"[KB_START]
[KB_END]",
esnli_test_2947,"isa_wn(men, people)","[KB_START]
isa_wn(men, people)
[KB_END]",
esnli_test_2964,,"[KB_START]
[KB_END]",
esnli_test_3169,,"[KB_START]
[KB_END]",
esnli_test_3023,,"[KB_START]
[KB_END]",
esnli_test_3175,"isa_wn(young lady, woman) ;; isa_wn(street, outside)","[KB_START]
isa_wn(young lady, woman)
isa_wn(street, outside)
[KB_END]",
esnli_test_3189,"isa_wn(family, people)","[KB_START]
isa_wn(family, people)
[KB_END]",
esnli_test_3188,"isa_wn(hang, play)","[KB_START]
isa_wn(hang, play)
[KB_END]",
esnli_test_3216,"isa_wn(man, person)","[KB_START]
isa_wn(man, person)
[KB_END]",
