ID,dataset,split,premise,hypothesis,gold_label,annotator_count,all_present_exact_match,Alternative_KB,Ettore_KB,Jorryt_KB,Lasha_KB,Stefan_KB,Ettore_Jorryt_match,Ettore_Lasha_match,Ettore_Stefan_match,Jorryt_Lasha_match,Jorryt_Stefan_match,Lasha_Stefan_match,LLM__lex_few_shot_precision__openai_gpt-5.4-mini_raw_response,LLM__lex_few_shot_precision__openai_gpt-5.4-mini_KB,LLM__lex_few_shot_precision__openai_gpt-5.4-mini_error,LLM__lex_few_shot_precision__anthropic_claude-haiku-4.5_raw_response,LLM__lex_few_shot_precision__anthropic_claude-haiku-4.5_KB,LLM__lex_few_shot_precision__anthropic_claude-haiku-4.5_error,LLM__lex_few_shot_precision__google_gemini-3.1-flash-lite_raw_response,LLM__lex_few_shot_precision__google_gemini-3.1-flash-lite_KB,LLM__lex_few_shot_precision__google_gemini-3.1-flash-lite_error,LLM__lex_few_shot_precision__openai_gpt-oss-20b_raw_response,LLM__lex_few_shot_precision__openai_gpt-oss-20b_KB,LLM__lex_few_shot_precision__openai_gpt-oss-20b_error,LLM__lex_few_shot_base__openai_gpt-5.4-mini_raw_response,LLM__lex_few_shot_base__openai_gpt-5.4-mini_KB,LLM__lex_few_shot_base__openai_gpt-5.4-mini_error,LLM__lex_few_shot_base__anthropic_claude-haiku-4.5_raw_response,LLM__lex_few_shot_base__anthropic_claude-haiku-4.5_KB,LLM__lex_few_shot_base__anthropic_claude-haiku-4.5_error,LLM__lex_few_shot_base__google_gemini-3.1-flash-lite_raw_response,LLM__lex_few_shot_base__google_gemini-3.1-flash-lite_KB,LLM__lex_few_shot_base__google_gemini-3.1-flash-lite_error,LLM__lex_few_shot_base__openai_gpt-oss-20b_raw_response,LLM__lex_few_shot_base__openai_gpt-oss-20b_KB,LLM__lex_few_shot_base__openai_gpt-oss-20b_error
1192,sick,dev,A man and a woman are walking together through the woods,A man and a woman are walking through a wooded area,entailment,3,TRUE,,,"(woods, wooded area)","(woods, wooded area)","(woods, wooded area)",,,,FALSE,FALSE,TRUE,"answer: entailment
relations: { entails(woods, wooded area) }","isa_wn(woods, wooded area)",,"answer: entailment
relations: { entails(woods, wooded area) }","isa_wn(woods, wooded area)",,"answer: entailment
relations: { entails(woods, wooded area) }","isa_wn(woods, wooded area)",,"answer: entailment  
relations: { entails(wood, wooded area) }","isa_wn(wood, wooded area)",,"answer: entailment
relations: { entails(woods, wooded area) }","isa_wn(woods, wooded area)",,"answer: entailment
relations: { entails(woods, wooded area) }","isa_wn(woods, wooded area)",,"answer: entailment
relations: { entails(wood, wooded area) }","isa_wn(wood, wooded area)",,"answer: entailment  
relations: { entails(woods, wooded area) }","isa_wn(woods, wooded area)",
1405221276.jpg#4r1e,snli,dev,Two dogs shaking themselves dry on the sand.,Two dogs shake off water to get dry.,entailment,2,TRUE,,NO_RELATION,NO_RELATION,NO_RELATION,,FALSE,TRUE,,FALSE,,,"answer: entailment
relations: { entails(shaking themselves dry, shake off water to get dry) }","isa_wn(shaking themselves dry, shake off water to get dry)",,"answer: entailment
relations: { entails(shake, shake off), entails(dry, get dry) }","isa_wn(shake, shake off); isa_wn(dry, get dry)",,"answer: entailment
relations: { entails(shake self, shake off), entails(dry, remove water) }","isa_wn(shake self, shake off); isa_wn(dry, remove water)",,"answer: entailment  
relations: { }",NO_RELATION,,"answer: entailment
relations: { entails(shake themselves dry, shake off water), entails(on the sand, on sand) }","isa_wn(shake themselves dry, shake off water); isa_wn(on the sand, on sand)",,"answer: entailment
relations: { entails(shake, shake off), entails(sand, water) }

Wait, let me reconsider this. The relation entails(sand, water) is not correct because sand does not entail water.

Let me re-examine:

The premise says ""dogs shaking themselves dry on the sand"" - they are shaking to become dry, which occurs on sand.

The hypothesis says ""dogs shake off water to get dry"" - they shake off water to become dry.

The act of ""shaking themselves dry"" entails ""shaking off water to get dry"" because when dogs shake to dry themselves, they are shaking off water. The location (sand) is not relevant to the core entailment.

answer: entailment
relations: { entails(shake, shake off) }","isa_wn(shake, shake off); isa_wn(sand, water); isa_wn(sand, water); isa_wn(shake, shake off)",,"answer: entailment
relations: { entails(shake themselves dry, shake off water to get dry) }","isa_wn(shake themselves dry, shake off water to get dry)",,"answer: entailment  
relations: { entails(shaking themselves dry, shake off water) }","isa_wn(shaking themselves dry, shake off water)",
147236031.jpg#1r1e,snli,dev,An Asian woman is looking at the camera while trimming asparagus.,Woman cuts vegetables.,entailment,2,TRUE,,"(asparagus, vegetable); (trim, cut)",,"(asparagus, vegetable); (trim, cut)","(asparagus, vegetable); (trim, cut)",,TRUE,TRUE,,,TRUE,answer: non-entailment,NO_RELATION,,"answer: entailment
relations: { entails(trim asparagus, cut vegetable), entails(Asian woman, woman) }","isa_wn(trim asparagus, cut vegetable); isa_wn(Asian woman, woman)",,"answer: entailment
relations: { entails(trim, cut), entails(asparagus, vegetable) }","isa_wn(trim, cut); isa_wn(asparagus, vegetable)",,"answer: entailment  
relations: { entails(trim, cut), entails(asparagus, vegetable) }","isa_wn(trim, cut); isa_wn(asparagus, vegetable)",,"answer: entailment
relations: { entails(trim asparagus, cut vegetable) }","isa_wn(trim asparagus, cut vegetable)",,"answer: entailment
relations: { entails(trim, cut), entails(asparagus, vegetable) }","isa_wn(trim, cut); isa_wn(asparagus, vegetable)",,"answer: entailment
relations: { entails(asian woman, woman), entails(trim, cut), entails(asparagus, vegetable) }","isa_wn(asian woman, woman); isa_wn(trim, cut); isa_wn(asparagus, vegetable)",,"answer: entailment
relations: {entails(trim, cut), entails(asparagus, vegetable)}","isa_wn(trim, cut); isa_wn(asparagus, vegetable)",
1796608106.jpg#4r1e,snli,dev,A woman building herself a sand castle.,a women is making a sand castle,entailment,2,TRUE,,"(build, make)","(build, make)","(build, make)",,TRUE,TRUE,,TRUE,,,"answer: entailment
relations: { entails(build, make), entails(woman, women) }","isa_wn(build, make); isa_wn(woman, women)",,"answer: entailment
relations: { entails(build, make), entails(woman, women) }","isa_wn(build, make); isa_wn(woman, women)",,"answer: entailment
relations: { entails(build, make) }","isa_wn(build, make)",,"answer: entailment
relations: { entails(build, make) }","isa_wn(build, make)",,"answer: entailment
relations: { entails(build, make), entails(woman, woman) }","isa_wn(build, make); isa_wn(woman, woman)",,"answer: entailment
relations: { entails(build, make), entails(woman, women) }","isa_wn(build, make); isa_wn(woman, women)",,"answer: entailment
relations: { entails(build, make) }","isa_wn(build, make)",,"answer: entailment  
relations: { entails(build, make) }","isa_wn(build, make)",
211,sick,dev,Two dogs are playing by a tree,Two dogs are playing by a plant,entailment,2,TRUE,,"(tree, plant)","(tree, plant)",,"(tree, plant)",TRUE,,TRUE,,TRUE,,"answer: entailment
relations: { entails(tree, plant) }","isa_wn(tree, plant)",,"answer: entailment
relations: { entails(tree, plant) }","isa_wn(tree, plant)",,"answer: entailment
relations: { entails(tree, plant) }","isa_wn(tree, plant)",,"answer: entailment  
relations: { entails(tree, plant) }","isa_wn(tree, plant)",,"answer: entailment
relations: { entails(tree, plant) }","isa_wn(tree, plant)",,"answer: entailment
relations: { entails(tree, plant) }","isa_wn(tree, plant)",,"answer: entailment
relations: { entails(tree, plant) }","isa_wn(tree, plant)",,"answer: entailment  
relations: { entails(tree, plant) }","isa_wn(tree, plant)",
2255375425.jpg#2r1e,snli,dev,A man is sitting in on the side of the street with brass pots.,A man is sitting.,entailment,2,TRUE,,NO_RELATION,NO_RELATION,,NO_RELATION,TRUE,,TRUE,,TRUE,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment
relations: { }

explanation: The hypothesis ""A man is sitting"" is directly entailed by the premise ""A man is sitting in on the side of the street with brass pots."" The premise explicitly states that a man is sitting, and the hypothesis simply removes additional modifying information (location and objects) while preserving the core claim. No non-trivial lexical entailment relations are needed to explain this entailment.",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment
relations: { }

explanation: The hypothesis ""A man is sitting"" is directly stated in the premise ""A man is sitting in on the side of the street with brass pots."" The additional details about location (on the side of the street) and objects (brass pots) do not negate or contradict the core assertion that a man is sitting. Therefore, the entailment follows without requiring any non-trivial lexical relations.",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment  
relations: { }",NO_RELATION,
2367387854.jpg#1r1e,snli,dev,"A woman with dark hair wearing a dark shirt, jeans, and glasses is talking into a microphone.",A woman is speaking into a device.,entailment,2,TRUE,,"(microphone, device); (talk, speak)","(microphone, device); (talk, speak)",,"(microphone, device); (talk, speak)",FALSE,,TRUE,,FALSE,,"answer: entailment
relations: { entails(talking, speaking), entails(microphone, device) }","isa_wn(talking, speaking); isa_wn(microphone, device)",,"answer: entailment
relations: { entails(talk, speak), entails(microphone, device) }","isa_wn(talk, speak); isa_wn(microphone, device)",,"answer: entailment
relations: { entails(talk, speak), entails(microphone, device) }","isa_wn(talk, speak); isa_wn(microphone, device)",,"**answer:** entailment  
**relations:** { entails(talk, speak), entails(microphone, device) }","isa_wn(talk, speak); isa_wn(microphone, device)",,"answer: entailment
relations: { entails(talk, speak), entails(microphone, device) }","isa_wn(talk, speak); isa_wn(microphone, device)",,"answer: entailment
relations: { entails(talk, speak), entails(microphone, device) }","isa_wn(talk, speak); isa_wn(microphone, device)",,"answer: entailment
relations: { entails(talk, speak), entails(microphone, device) }","isa_wn(talk, speak); isa_wn(microphone, device)",,"answer: entailment  
relations: { entails(talking, speaking), entails(microphone, device) }","isa_wn(talking, speaking); isa_wn(microphone, device)",
237424188.jpg#0r1e,snli,dev,"A girl wearing a red shirt and jeans is sitting in a rocking chair at a cluttered desk, while another girl wearing a black t-shirt and jogging pants is sitting on the floor writing on a piece of paper with other papers arranged around her.",two girls in a room,entailment,3,TRUE,,,NO_RELATION,NO_RELATION,NO_RELATION,,,,TRUE,TRUE,TRUE,"answer: entailment
relations: { entails(wearing a red shirt and jeans, in a room) }","isa_wn(wearing a red shirt and jeans, in a room)",,"answer: entailment
relations: { }

Explanation: The premise describes two girls (one sitting in a rocking chair at a desk, another sitting on the floor), and both are clearly in a room (indicated by the desk, rocking chair, and floor). The hypothesis simply states ""two girls in a room,"" which directly follows from the premise without requiring any non-trivial lexical entailments. The presence of two girls and their location in a room are explicitly stated in the premise.",NO_RELATION,,answer: non-entailment,NO_RELATION,,answer: non-entailment,NO_RELATION,,"answer: entailment
relations: { entails(rocking chair, chair), entails(at cluttered desk, in room), entails(on the floor, in room) }","isa_wn(rocking chair, chair); isa_wn(at cluttered desk, in room); isa_wn(on the floor, in room)",,"answer: entailment
relations: { entails(girl, person), entails(sitting in rocking chair, in room), entails(sitting on floor, in room) }","isa_wn(girl, person); isa_wn(sitting in rocking chair, in room); isa_wn(sitting on floor, in room)",,"answer: entailment
relations: { entails(girl, girl), entails(sitting in rocking chair, in room), entails(sitting on floor, in room) }","isa_wn(girl, girl); isa_wn(sitting in rocking chair, in room); isa_wn(sitting on floor, in room)",,"answer: entailment  
relations: { }",NO_RELATION,
2393059551.jpg#1r1e,snli,dev,Two people work construction on the inside of a house.,Two people work inside.,entailment,2,TRUE,,NO_RELATION,NO_RELATION,,NO_RELATION,TRUE,,TRUE,,TRUE,,"answer: non-entailment
relations: { }",NO_RELATION,,"answer: entailment
relations: { }

explanation: The hypothesis is entailed from the premise without requiring any non-trivial lexical relations. The premise states that two people work construction on the inside of a house, which directly implies that two people work inside. The additional information about ""construction"" and ""house"" in the premise is consistent with but not necessary to derive the hypothesis. The core proposition—that two people work inside—is already present in the premise.",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment  
relations: { }",NO_RELATION,,"answer: entailment
relations: { entails(work construction, work), entails(on the inside of a house, inside) }","isa_wn(work construction, work); isa_wn(on the inside of a house, inside)",,"answer: entailment
relations: { }

explanation: The hypothesis is a direct simplification of the premise. The premise states ""Two people work construction on the inside of a house,"" which necessarily means that two people work inside. The additional details in the premise (that they work ""construction"" and that it's specifically ""on the inside of a house"") do not negate the core fact that two people work inside. No non-trivial lexical entailment relations are needed to explain this inference, as the hypothesis is logically contained within the premise through simple deletion of modifiers and specifying details.",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment
relations: { entails(construction work, work) }","isa_wn(construction work, work)",
241345721.jpg#4r1e,snli,dev,Men playing football.,Some men are playing a game.,entailment,2,TRUE,,"(football, game)","(football, game)","(football, game)",,TRUE,TRUE,,TRUE,,,"answer: entailment
relations: { entails(football, game) }","isa_wn(football, game)",,"answer: entailment
relations: { entails(football, game) }","isa_wn(football, game)",,"answer: entailment
relations: { entails(football, game) }","isa_wn(football, game)",,"answer: entailment  
relations: { entails(football, game) }","isa_wn(football, game)",,"answer: entailment
relations: { entails(football, game) }","isa_wn(football, game)",,"answer: entailment
relations: { entails(football, game) }","isa_wn(football, game)",,"answer: entailment
relations: { entails(football, game) }","isa_wn(football, game)",,"**answer:** entailment  
**relations:** { entails(football, game) }","isa_wn(football, game)",
