ID,dataset,split,premise,hypothesis,gold_label,annotator_count,all_present_exact_match,Alternative_KB,Ettore_KB,Jorryt_KB,Lasha_KB,Stefan_KB,Ettore_Jorryt_match,Ettore_Lasha_match,Ettore_Stefan_match,Jorryt_Lasha_match,Jorryt_Stefan_match,Lasha_Stefan_match
1192,sick,dev,A man and a woman are walking together through the woods,A man and a woman are walking through a wooded area,entailment,3,TRUE,,,"(woods, wooded area)","(woods, wooded area)","(woods, wooded area)",,,,FALSE,FALSE,TRUE
1262,sick,test,A band is performing onstage,A band is playing onstage,entailment,2,TRUE,,"(perform, play)","(perform, play)","(perform, play)",,TRUE,TRUE,,TRUE,,
1405221276.jpg#4r1e,snli,dev,Two dogs shaking themselves dry on the sand.,Two dogs shake off water to get dry.,entailment,2,TRUE,,NO_RELATION,NO_RELATION,NO_RELATION,,FALSE,TRUE,,FALSE,,
1412,sick,dev,Men are sawing logs,Men are cutting wood,entailment,2,TRUE,,"(log, wood); (saw, cut)","(log, wood); (saw, cut)",,"(saw, cut); (log, wood)",FALSE,,FALSE,,FALSE,
147236031.jpg#1r1e,snli,dev,An Asian woman is looking at the camera while trimming asparagus.,Woman cuts vegetables.,entailment,2,TRUE,,"(asparagus, vegetable); (trim, cut)",,"(asparagus, vegetable); (trim, cut)","(asparagus, vegetable); (trim, cut)",,TRUE,TRUE,,,TRUE
1497,sick,test,A man is strumming a guitar,A man is playing guitar,entailment,3,TRUE,,,"(strum, play)","(strum, play)","(strum, play)",,,,TRUE,TRUE,TRUE
158827073.jpg#2r1e,snli,dev,Young girl playing with chocolate milk powder.,There is a girl playing with food,entailment,2,TRUE,,"(chocolate milk powder, food)","(chocolate milk powder, food)","(chocolate milk powder, food)",,TRUE,TRUE,,TRUE,,
1796608106.jpg#4r1e,snli,dev,A woman building herself a sand castle.,a women is making a sand castle,entailment,2,TRUE,,"(build, make)","(build, make)","(build, make)",,TRUE,TRUE,,TRUE,,
2021602343.jpg#2r1e,snli,dev,A boy with a basketballs glowers at the camera.,The boy scowls,entailment,2,TRUE,,"(glower, scowl)","(glower, scowl)","(glower, scowl)",,TRUE,TRUE,,TRUE,,
207584893.jpg#3r1e,snli,train,Hang glider on beach,air sport on beach,entailment,2,TRUE,,"(hang glider, air sport)","(hang glider, air sport)",,"(hang glider, air sport)",FALSE,,TRUE,,FALSE,
211,sick,dev,Two dogs are playing by a tree,Two dogs are playing by a plant,entailment,2,TRUE,,"(tree, plant)","(tree, plant)",,"(tree, plant)",TRUE,,TRUE,,TRUE,
2195887578.jpg#2r1e,snli,test,"Two men in suits standing in front of a bus, one is wearing a medal.",Two men are standing in front of a large vehicle.,entailment,2,TRUE,,"(bus, large vehicle)","(bus, large vehicle)","(bus, large vehicle)",,TRUE,TRUE,,TRUE,,
2217728745.jpg#4r1e,snli,train,A man in a bar.,A guy in a bar.,entailment,2,TRUE,,"(man, guy)","(man, guy)",,"(man, guy)",FALSE,,TRUE,,FALSE,
