ID,dataset,split,premise,hypothesis,gold_label,has_reference_relation,prompt,model,repeat,raw_response,KB,error
114368470.jpg#1r1e,snli,dev,Boy standing in line in a grocery store with his items on the conveyor belt.,He is waiting to pay.,entailment,TRUE,lasha,openai/gpt-5.4-mini,1,"answer: entailment
relations: { entails(standing in line, waiting to pay) }","isa_wn(standing in line, waiting to pay)",
114368470.jpg#1r1e,snli,dev,Boy standing in line in a grocery store with his items on the conveyor belt.,He is waiting to pay.,entailment,TRUE,lasha,openai/gpt-5.4-mini,2,"answer: entailment
relations: { entails(standing in line, waiting to pay) }","isa_wn(standing in line, waiting to pay)",
114368470.jpg#1r1e,snli,dev,Boy standing in line in a grocery store with his items on the conveyor belt.,He is waiting to pay.,entailment,TRUE,lasha,openai/gpt-5.4-mini,3,"answer: entailment
relations: { entails(standing in line, waiting to pay) }","isa_wn(standing in line, waiting to pay)",
114368470.jpg#1r1e,snli,dev,Boy standing in line in a grocery store with his items on the conveyor belt.,He is waiting to pay.,entailment,TRUE,lasha,openai/gpt-5.4-mini,4,"answer: entailment
relations: { entails(standing in line, waiting to pay) }","isa_wn(standing in line, waiting to pay)",
114368470.jpg#1r1e,snli,dev,Boy standing in line in a grocery store with his items on the conveyor belt.,He is waiting to pay.,entailment,TRUE,lasha,openai/gpt-5.4-mini,5,"answer: entailment
relations: { entails(standing in line, waiting to pay) }","isa_wn(standing in line, waiting to pay)",
114368470.jpg#1r1e,snli,dev,Boy standing in line in a grocery store with his items on the conveyor belt.,He is waiting to pay.,entailment,TRUE,lasha,anthropic/claude-haiku-4.5,1,"answer: entailment
relations: { entails(standing in line, waiting) }","isa_wn(standing in line, waiting)",
114368470.jpg#1r1e,snli,dev,Boy standing in line in a grocery store with his items on the conveyor belt.,He is waiting to pay.,entailment,TRUE,lasha,anthropic/claude-haiku-4.5,2,"answer: entailment
relations: { entails(standing in line, waiting) }","isa_wn(standing in line, waiting)",
114368470.jpg#1r1e,snli,dev,Boy standing in line in a grocery store with his items on the conveyor belt.,He is waiting to pay.,entailment,TRUE,lasha,anthropic/claude-haiku-4.5,3,"answer: entailment
relations: { entails(standing in line, waiting) }","isa_wn(standing in line, waiting)",
114368470.jpg#1r1e,snli,dev,Boy standing in line in a grocery store with his items on the conveyor belt.,He is waiting to pay.,entailment,TRUE,lasha,anthropic/claude-haiku-4.5,4,"answer: entailment
relations: { entails(standing in line, waiting) }","isa_wn(standing in line, waiting)",
114368470.jpg#1r1e,snli,dev,Boy standing in line in a grocery store with his items on the conveyor belt.,He is waiting to pay.,entailment,TRUE,lasha,anthropic/claude-haiku-4.5,5,"answer: entailment
relations: { entails(standing in line, waiting) }","isa_wn(standing in line, waiting)",
114368470.jpg#1r1e,snli,dev,Boy standing in line in a grocery store with his items on the conveyor belt.,He is waiting to pay.,entailment,TRUE,lasha,google/gemini-3.1-flash-lite,1,answer: non-entailment,NO_RELATION,
114368470.jpg#1r1e,snli,dev,Boy standing in line in a grocery store with his items on the conveyor belt.,He is waiting to pay.,entailment,TRUE,lasha,google/gemini-3.1-flash-lite,2,answer: non-entailment,NO_RELATION,
114368470.jpg#1r1e,snli,dev,Boy standing in line in a grocery store with his items on the conveyor belt.,He is waiting to pay.,entailment,TRUE,lasha,google/gemini-3.1-flash-lite,3,answer: non-entailment,NO_RELATION,
114368470.jpg#1r1e,snli,dev,Boy standing in line in a grocery store with his items on the conveyor belt.,He is waiting to pay.,entailment,TRUE,lasha,google/gemini-3.1-flash-lite,4,answer: non-entailment,NO_RELATION,
114368470.jpg#1r1e,snli,dev,Boy standing in line in a grocery store with his items on the conveyor belt.,He is waiting to pay.,entailment,TRUE,lasha,google/gemini-3.1-flash-lite,5,answer: non-entailment,NO_RELATION,
114368470.jpg#1r1e,snli,dev,Boy standing in line in a grocery store with his items on the conveyor belt.,He is waiting to pay.,entailment,TRUE,lasha,openai/gpt-oss-20b,1,"answer: entailment
relations: { entails(line, wait) }","isa_wn(line, wait)",
114368470.jpg#1r1e,snli,dev,Boy standing in line in a grocery store with his items on the conveyor belt.,He is waiting to pay.,entailment,TRUE,lasha,openai/gpt-oss-20b,2,"answer: entailment
relations: { }",NO_RELATION,
114368470.jpg#1r1e,snli,dev,Boy standing in line in a grocery store with his items on the conveyor belt.,He is waiting to pay.,entailment,TRUE,lasha,openai/gpt-oss-20b,3,"answer: entailment
relations: { }",NO_RELATION,
114368470.jpg#1r1e,snli,dev,Boy standing in line in a grocery store with his items on the conveyor belt.,He is waiting to pay.,entailment,TRUE,lasha,openai/gpt-oss-20b,4,"answer: entailment
relations: { }",NO_RELATION,
114368470.jpg#1r1e,snli,dev,Boy standing in line in a grocery store with his items on the conveyor belt.,He is waiting to pay.,entailment,TRUE,lasha,openai/gpt-oss-20b,5,"answer: entailment
relations: { entails(stand in line, wait to pay) }","isa_wn(stand in line, wait to pay)",
114368470.jpg#1r1e,snli,dev,Boy standing in line in a grocery store with his items on the conveyor belt.,He is waiting to pay.,entailment,TRUE,lasha,google/gemma-3-4b-it,1,"answer: entailment
relations: { entails(boy, person), entails(standing in line, waiting) }","isa_wn(boy, person); isa_wn(standing in line, waiting)",
114368470.jpg#1r1e,snli,dev,Boy standing in line in a grocery store with his items on the conveyor belt.,He is waiting to pay.,entailment,TRUE,lasha,google/gemma-3-4b-it,2,"answer: entailment
relations: { entails(boy, person), entails(standing in line, waiting) }","isa_wn(boy, person); isa_wn(standing in line, waiting)",
114368470.jpg#1r1e,snli,dev,Boy standing in line in a grocery store with his items on the conveyor belt.,He is waiting to pay.,entailment,TRUE,lasha,google/gemma-3-4b-it,3,"answer: entailment
relations: { entails(boy, person), entails(standing in line, waiting) }","isa_wn(boy, person); isa_wn(standing in line, waiting)",
114368470.jpg#1r1e,snli,dev,Boy standing in line in a grocery store with his items on the conveyor belt.,He is waiting to pay.,entailment,TRUE,lasha,google/gemma-3-4b-it,4,"answer: entailment
relations: { entails(boy, person), entails(standing in line, waiting) }","isa_wn(boy, person); isa_wn(standing in line, waiting)",
114368470.jpg#1r1e,snli,dev,Boy standing in line in a grocery store with his items on the conveyor belt.,He is waiting to pay.,entailment,TRUE,lasha,google/gemma-3-4b-it,5,"answer: entailment
relations: { entails(boy, person), entails(standing in line, waiting) }","isa_wn(boy, person); isa_wn(standing in line, waiting)",
114368470.jpg#1r1e,snli,dev,Boy standing in line in a grocery store with his items on the conveyor belt.,He is waiting to pay.,entailment,TRUE,lasha,anthropic/claude-sonnet-4.5,1,"answer: entailment
relations: { entails(stand in line, wait) }","isa_wn(stand in line, wait)",
114368470.jpg#1r1e,snli,dev,Boy standing in line in a grocery store with his items on the conveyor belt.,He is waiting to pay.,entailment,TRUE,lasha,anthropic/claude-sonnet-4.5,2,"answer: entailment
relations: { entails(stand in line, wait) }","isa_wn(stand in line, wait)",
114368470.jpg#1r1e,snli,dev,Boy standing in line in a grocery store with his items on the conveyor belt.,He is waiting to pay.,entailment,TRUE,lasha,anthropic/claude-sonnet-4.5,3,"answer: entailment
relations: { entails(stand in line, wait) }","isa_wn(stand in line, wait)",
114368470.jpg#1r1e,snli,dev,Boy standing in line in a grocery store with his items on the conveyor belt.,He is waiting to pay.,entailment,TRUE,lasha,anthropic/claude-sonnet-4.5,4,"answer: entailment
relations: { entails(stand in line, wait) }","isa_wn(stand in line, wait)",
114368470.jpg#1r1e,snli,dev,Boy standing in line in a grocery store with his items on the conveyor belt.,He is waiting to pay.,entailment,TRUE,lasha,anthropic/claude-sonnet-4.5,5,"answer: entailment
relations: { entails(stand in line, wait) }","isa_wn(stand in line, wait)",
114368470.jpg#1r1e,snli,dev,Boy standing in line in a grocery store with his items on the conveyor belt.,He is waiting to pay.,entailment,TRUE,lasha,openai/gpt-5.4,1,answer: non-entailment,NO_RELATION,
114368470.jpg#1r1e,snli,dev,Boy standing in line in a grocery store with his items on the conveyor belt.,He is waiting to pay.,entailment,TRUE,lasha,openai/gpt-5.4,2,answer: non-entailment,NO_RELATION,
114368470.jpg#1r1e,snli,dev,Boy standing in line in a grocery store with his items on the conveyor belt.,He is waiting to pay.,entailment,TRUE,lasha,openai/gpt-5.4,3,answer: non-entailment,NO_RELATION,
114368470.jpg#1r1e,snli,dev,Boy standing in line in a grocery store with his items on the conveyor belt.,He is waiting to pay.,entailment,TRUE,lasha,openai/gpt-5.4,4,answer: non-entailment,NO_RELATION,
114368470.jpg#1r1e,snli,dev,Boy standing in line in a grocery store with his items on the conveyor belt.,He is waiting to pay.,entailment,TRUE,lasha,openai/gpt-5.4,5,answer: non-entailment,NO_RELATION,
114368470.jpg#1r1e,snli,dev,Boy standing in line in a grocery store with his items on the conveyor belt.,He is waiting to pay.,entailment,TRUE,lasha,google/gemini-3.5-flash,1,"answer: entailment
relations: { entails(stand in line, wait) }","isa_wn(stand in line, wait)",
114368470.jpg#1r1e,snli,dev,Boy standing in line in a grocery store with his items on the conveyor belt.,He is waiting to pay.,entailment,TRUE,lasha,google/gemini-3.5-flash,2,"answer: entailment
relations: { entails(stand in line, wait) }","isa_wn(stand in line, wait)",
114368470.jpg#1r1e,snli,dev,Boy standing in line in a grocery store with his items on the conveyor belt.,He is waiting to pay.,entailment,TRUE,lasha,google/gemini-3.5-flash,3,"answer: entailment
relations: { entails(stand in line, wait) }","isa_wn(stand in line, wait)",
114368470.jpg#1r1e,snli,dev,Boy standing in line in a grocery store with his items on the conveyor belt.,He is waiting to pay.,entailment,TRUE,lasha,google/gemini-3.5-flash,4,"answer: entailment
relations: { entails(stand in line, wait) }","isa_wn(stand in line, wait)",
114368470.jpg#1r1e,snli,dev,Boy standing in line in a grocery store with his items on the conveyor belt.,He is waiting to pay.,entailment,TRUE,lasha,google/gemini-3.5-flash,5,answer: non-entailment,NO_RELATION,
1184967930.jpg#4r4e,snli,train,A dog in a field.,A dog is in grass.,entailment,TRUE,lasha,openai/gpt-5.4-mini,1,answer: non-entailment,NO_RELATION,
1184967930.jpg#4r4e,snli,train,A dog in a field.,A dog is in grass.,entailment,TRUE,lasha,openai/gpt-5.4-mini,2,answer: non-entailment,NO_RELATION,
1184967930.jpg#4r4e,snli,train,A dog in a field.,A dog is in grass.,entailment,TRUE,lasha,openai/gpt-5.4-mini,3,answer: non-entailment,NO_RELATION,
